Protocol,Domain,Path,Having_IP,URL_Length,Having_@_symbol,Redirection_//_symbol,Prefix_suffix_separation,Sub_domains,tiny_url,web_traffic,domain_registration_length,dns_record,statistical_report,age_domain,http_tokens,label
http,www.spookytoms.com,/paul_frees_tribute.html,0,0,0,0,0,2,0,1,1,0,1,0,1,1
http,www.hollowhill.com,/gm/library/frees.htm,0,0,0,0,0,2,0,1,1,0,0,0,1,1
http,www.dvdtalk.com,/dvdsavant/s74frees.html,0,0,0,0,0,2,0,2,2,0,0,2,1,1
http,us.imdb.com,/name/nm0293659/,0,0,0,0,0,0,0,0,2,0,0,0,1,1
http,www.voicechasers.com,/database/showactor.php,0,2,0,0,0,2,0,2,1,0,0,0,1,1
http,bakerstreetdozen.com,/frewernews.html,0,0,0,0,0,0,0,1,2,0,0,2,1,1
http,us.imdb.com,/name/nm0001242/,0,0,0,0,0,0,0,0,2,0,0,2,1,1
http,www.geocities.com,/enchantedforest/dell/8545/va.html,0,2,0,0,0,2,0,2,2,0,0,2,1,1
http,www.angelfire.com,/ut/rtoons/actors.html,0,0,0,0,0,2,0,0,1,0,0,2,1,1
http,www.geocities.com,/hollywood/lot/2636/voiceacting/,0,2,0,0,0,0,0,2,2,0,0,2,1,1
http,www.geocities.com,/philbass_2000/narrators.html,0,0,0,0,0,2,0,2,2,0,0,0,1,1
http,doreen.mkbmemorial.com,/,0,0,0,0,0,0,0,1,2,0,1,2,1,1
http,www.geocities.com,/televisioncity/taping/6785/index.html,0,2,0,0,0,2,0,2,2,0,0,0,1,1
http,www.behindthevoiceactors.com,,0,0,0,0,0,0,0,0,2,0,0,2,1,1
http,www.keyframeonline.com,/kf.php,0,0,0,0,0,2,0,1,2,0,0,2,1,1
http,www.voicechasers.com,/,0,0,0,0,0,0,0,2,1,0,0,0,1,1
http,us.imdb.com,/name/nm0304000/,0,0,0,0,0,0,0,0,2,0,0,2,1,1
http,www.taoslandandfilm.com,/bradentnwkly.html,0,0,0,0,0,2,0,1,0,0,0,0,1,1
http,us.imdb.com,/name/nm0004951/,0,0,0,0,0,0,0,0,2,0,0,0,1,1
http,kathygarver.com,/,0,0,0,0,0,0,0,1,1,0,0,0,1,1
http,us.imdb.com,/name/nm0308744/,0,0,0,0,0,0,0,0,2,0,0,0,1,1
http,www.dickgautier.com,/,0,0,0,0,0,0,0,1,2,0,1,2,1,1
http,www.dangilvezan.com,/,0,0,0,0,0,0,0,2,0,0,0,0,1,1
http,us.imdb.com,/name/nm0319737/,0,0,0,0,0,0,0,0,2,0,0,2,1,1
http,us.imdb.com,/name/nm0330015/,0,0,0,0,0,0,0,0,2,0,0,0,1,1
http,www.tv-now.com,/stars/gotfried.html,0,0,0,0,1,2,0,1,0,0,0,0,1,1
http,www.cdaccess.com,/html/pc/midmovie.htm,0,0,0,0,0,2,0,1,1,0,0,0,1,1
